Languages,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,10B,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y
Iraqw,4,2,5,2,2,2,5,4,1,2,0,1,2,2,1,6,7,5,1,4,0,0,0,0,0,0,0,0,2,0,1,2,2,2,3,2,6,4,0,5,5,3,0,3,4,2,1,4,1,2,0,2,9,2,9,3,3,2,1,2,2,0,0,0,6,5,7,0,1,0,0,0,0,5,1,2,1,2,2,3,2,1,1,4,1,1,1,0,1,1,6,2,2,2,2,2,1,0,1,0,0,0,0,0,6,2,0,2,2,2,2,1,2,2,2,2,1,1,0,1,3,4,8,5,0,2,1,2,1,4,2,0,3,1,2,0,0,0,1,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,4,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,4,8,2,0,0,0,0,0,0
Irarutu,1,3,1,1,1,1,1,1,0,0,0,1,2,1,7,8,1,5,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,1,2,2,2,0,0,0,0,0,0,0,0,6,2,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,4,4,6,0,4,0,0,0,4,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irish (Donegal),5,2,4,4,2,1,1,2,0,0,0,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isoko,4,3,3,4,2,1,1,2,0,0,0,1,2,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itelmen,4,2,4,3,1,4,2,4,1,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,2,0,6,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,6,5,3,3,1,1,0,0,0,0,0,0,0,1,0,2,1,0,0,5,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,14,2,0,0,1,2,4,18,0,0,0,0,0,0,0,0,0,0,16,0,15,0,0,0,0,6,0,0,0,0,0,0
Itonama,3,2,3,2,4,1,2,2,3,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,4,0,0,0,2,0,1,2,0,0,3,3,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivatan,3,1,4,2,2,1,1,2,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iwam,1,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,4,8,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,8,1,0,0,0,0,0,0
Jakaltek,4,2,4,1,1,4,2,2,3,2,0,1,2,1,2,8,1,0,1,1,1,5,1,3,1,1,1,2,6,1,1,3,0,0,0,7,4,3,0,4,2,3,0,3,2,0,1,6,1,1,0,4,1,1,9,2,5,0,3,0,1,2,1,1,0,0,0,2,2,1,4,2,4,4,1,3,1,2,1,3,2,2,4,4,2,1,3,0,2,2,0,2,2,1,2,1,1,0,1,0,0,0,0,1,6,1,1,4,4,3,1,1,3,6,5,4,3,1,4,1,1,1,6,1,3,2,2,3,2,0,6,0,1,1,1,1,4,4,2,0,0,0,1,1,2,0,2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,4,4,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,4,0
Japanese,2,2,3,4,2,3,1,1,3,2,0,1,2,2,0,0,0,0,1,1,1,1,1,3,2,2,2,2,2,2,1,1,0,0,0,2,2,8,1,4,1,3,0,1,3,3,1,2,4,1,1,2,7,2,6,2,4,4,3,3,4,2,1,1,2,7,4,2,2,2,1,2,4,2,4,2,4,2,1,3,2,2,2,4,5,1,1,0,1,1,3,1,1,1,1,1,2,1,0,6,0,0,0,1,2,2,2,1,1,1,2,2,1,5,1,1,1,1,2,1,3,4,8,5,0,2,1,2,5,1,1,1,3,1,1,1,4,4,4,2,2,1,1,1,2,0,1,7,7,1,1,1,1,1,2,1,0,0,0,2,4,0,0,0,4,2,4,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,4,8,2,0,0,0,0,0,0
Japreria,1,2,1,2,1,1,1,3,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaqaru,5,1,5,1,1,2,2,2,0,2,0,1,2,1,6,8,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,6,6,1,1,0,1,0,0,1,0,0,0,1,3,2,0,0,0,6,0,0,2,0,0,0,0,0,2,1,3,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,5,5,5,0,0,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,2,0,0,0,0,0,1,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javanese,3,3,2,1,1,1,1,2,0,0,0,1,0,1,1,3,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,0,0,0,4,5,0,0,0,2,4,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jebero,3,1,4,1,1,1,6,2,3,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,1,0,0,0,0,0,0,0,0,7,0,3,3,6,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeh,5,3,3,2,2,1,3,2,0,0,0,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jingpho,3,2,4,2,2,1,1,2,0,0,0,1,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,1,2,1,2,2,1,0,0,0,0,0,1,2,2,2,1,1,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,4,21,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,11,0,0,0,0,0,0
Jivaro,2,1,3,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,3,3,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,1,1,2,0,0,0,0,0,4,0,0,0,4,2,4,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,4,8,2,0,0,0,0,0,0
Jomang,1,3,1,1,1,1,1,1,0,0,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ju|'hoan,5,2,5,4,2,1,2,2,2,0,0,1,1,3,0,0,0,0,1,2,0,0,0,0,4,4,4,1,1,0,1,1,5,3,3,8,6,5,0,1,1,5,0,1,3,0,5,2,1,0,1,2,1,1,9,1,0,0,1,0,4,2,1,3,0,0,0,1,2,1,4,2,4,5,5,2,1,2,0,3,0,1,1,0,0,0,2,0,1,2,0,1,1,2,2,2,1,0,1,0,0,0,0,0,3,2,1,3,4,4,1,1,1,1,1,1,1,3,0,2,3,4,5,2,0,3,4,1,7,0,1,5,1,2,1,0,0,0,3,1,1,1,1,2,2,0,0,0,0,0,0,1,2,1,1,2,0,0,0,0,1,0,0,0,1,4,4,2,3,0,2,0,0,0,4,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K'ekchí,3,2,3,1,1,2,5,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kabardian,5,1,5,4,2,4,2,5,3,0,0,1,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,2,1,0,0,0,0,0,0,6,2,0,1,1,0,0,0,0,2,0,0,0,0,2,0,2,1,0,0,0,0,1,3,6,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,4,2,4,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,4,8,2,0,0,0,0,0,0
Kadugli,3,2,3,4,2,1,3,2,0,0,0,1,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,4,21,0,0,11,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaingang,1,3,1,1,1,1,1,1,0,1,0,1,2,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,4,8,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,8,1,0,0,0,0,0,0
Kala Lagaw Ya,2,2,3,4,2,1,1,2,0,0,0,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalami,5,2,4,4,2,2,1,4,0,0,0,1,2,2,7,8,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalkatungu,3,1,5,1,1,1,1,2,0,0,0,1,2,1,2,8,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,6,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,4,4,1,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kanakuru,3,2,3,2,2,1,3,4,0,0,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,2,1,2,0,0,0,0,0,1,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,2,2,3,2,2,1,0,1,0,0,0,0,0,2,2,1,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,1,1,4,18,0,0,14,0,1,0,4,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kannada,4,2,2,2,2,1,1,2,3,2,0,1,3,1,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,1,4,2,3,2,2,2,5,7,3,0,2,3,0,3,2,3,3,2,3,1,1,2,6,2,1,2,5,2,1,3,4,2,1,1,0,0,6,1,2,2,1,1,3,2,1,4,1,2,2,1,1,2,2,1,5,1,1,0,1,1,0,1,1,1,1,1,7,4,0,0,2,0,0,1,2,2,5,1,5,1,2,2,2,2,2,2,1,1,2,1,3,4,1,4,2,2,1,2,5,1,1,1,2,2,2,0,4,4,1,3,3,3,2,2,2,0,1,0,0,0,0,1,1,1,2,0,0,0,0,2,4,0,0,0,4,2,4,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,4,8,2,0,0,0,0,0,0
Kanuri,3,3,3,4,3,1,1,2,1,2,0,1,2,2,0,0,0,0,1,1,0,0,0,0,3,2,5,2,2,1,1,3,1,1,1,2,6,5,1,1,1,3,0,3,2,0,1,6,1,0,0,2,6,4,6,2,5,0,1,3,2,2,1,1,4,2,6,2,2,1,1,1,3,2,1,4,4,2,2,3,3,1,1,1,2,1,1,0,1,1,4,1,2,2,2,2,1,0,1,0,0,0,0,2,6,1,5,1,2,2,2,2,2,2,5,2,4,1,0,1,3,4,3,2,1,2,1,3,3,1,2,4,3,1,2,1,0,0,0,3,1,1,1,1,2,0,1,0,0,0,0,1,1,3,2,2,0,0,0,0,4,0,0,0,4,2,4,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,4,8,2,0,0,0,0,0,0
Karen (Sgaw),4,3,3,3,1,1,3,2,0,0,0,1,2,3,0,0,0,0,1,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,2,1,2,2,2,1,0,1,0,0,0,0,2,2,2,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,1,0,0,1,1,4,18,0,0,14,0,1,0,4,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karok,2,2,3,1,1,1,1,1,3,1,0,1,0,2,1,5,2,0,1,1,1,5,1,5,1,1,1,2,4,1,1,2,1,1,1,2,0,4,0,1,0,3,0,3,0,0,0,6,1,1,2,2,3,4,6,2,0,0,1,0,1,1,1,1,0,0,0,0,2,2,4,1,3,2,1,4,1,2,0,3,0,2,4,0,0,0,7,0,1,3,6,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1,1,5,2,5,2,5,0,2,1,3,4,3,1,0,2,6,2,3,0,0,3,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,1,2,2,3,0,0,0,0,14,2,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kashmiri,4,3,3,2,2,1,1,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,2,1,0,2,2,3,1,2,4,4,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,2,1,1,0,0,0,0,0,2,0,1,2,1,1,1,1,1,1,7,0,4,0,3,0,0,0,0,2,0,3,5,3,0,0,6,4,5,5,2,1,0,1,3,4,8,5,0,2,1,0,0,1,3,0,0,0,0,1,0,0,1,3,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,4,20,0,0,6,0,0,0,4,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kawaiisu,3,2,3,2,4,1,1,2,3,0,0,1,0,1,1,3,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,4,0,0,0,7,0,3,3,6,1,3,1,6,0,1,0,1,0,0,0,0,0,6,1,0,5,5,5,0,0,5,0,5,2,4,0,4,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kayah Li (Eastern),3,3,1,2,4,1,1,2,1,2,0,1,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,9,0,4,3,0,0,3,0,1,2,0,1,6,1,0,0,2,1,1,9,0,0,0,3,0,4,0,0,0,6,7,8,0,0,0,0,0,0,5,5,2,1,2,3,0,0,3,2,0,0,0,2,0,1,2,1,4,1,2,2,2,1,0,1,0,0,0,0,0,2,2,5,5,4,4,1,1,1,5,1,1,1,2,0,2,0,0,0,0,0,3,4,3,3,0,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,4,4,6,0,4,0,0,0,4,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
